,Unnamed: 0.1,Unnamed: 0,설치기관명,설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
5408,5408,5408,매헌초등학교 (1층보건실),서울특별시 서초구 언남길 8 보건실,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,,,
5409,5409,5409,아크로비스타생활지원센터 (아크로비스타 생활지원센터 2동로비),"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5410,5410,5410,아크로비스타생활지원센터 (아크로비스타생활지원센터 1동로비),"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5411,5411,5411,아크로비스타생활지원센터 (아크로비스타 생활지원센터 5동로비),"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5412,5412,5412,아크로비스타생활지원센터 (아크로비스타 생활지원센터 4동로비),"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5413,5413,5413,아크로비스타생활지원센터 (아크로비스타 생활지원센터 3동로비),"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5414,5414,5414,아크로비스타생활지원센터 (스포츠센터 지하 1층),"서울특별시 서초구 서초중앙로 188 (서초동, 아크로비스타)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5415,5415,5415,서울특별시어린이병원 (소아청소년과외래),서울특별시 서초구 헌릉로 260 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,500:00~24:00,00:00~24:00
5416,5416,5416,서울특별시어린이병원 (재활의학과외래),서울특별시 서초구 헌릉로 260 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,500:00~24:00,00:00~24:00
5417,5417,5417,반포1동주민센터 (반포1동주민센터),서울특별시 서초구 사평대로 273 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
5418,5418,5418,북한산힐스테이트7차 (104동 관리실 안 입구),"서울특별시 은평구 통일로 796 (불광동, 북한산 힐스테이트7차)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5419,5419,5419,금호베스트빌제2아파트 (관리사무소),"서울특별시 성동구 난계로 114-31(하왕십리동, 금호 베스트빌)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,09:00~17:00,00:00~24:00,09:00~17:00
5420,5420,5420,청계벽산아파트제2관리사무소 (관리사무소),"서울특별시 성동구 무학로 50 (임대) (하왕십리동, 벽산아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5421,5421,5421,센트럴시티 (1층 대합실 정문),"서울특별시 서초구 신반포로 176, 센트럴시티 (반포동)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5422,5422,5422,㈜파라다이스워커힐카지노 (안내데스크 옆),서울특별시 광진구 워커힐로 177 파라다이스워커힐 카지노,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5423,5423,5423,구의3동도서관 (3층 자료실 내),"서울특별시 광진구 강변역로 17, 구의3동 복합청사 (구의동)",,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~18:00,09:00~18:00,
5424,5424,5424,당산4가현대3차아파트 (정문경비실),서울특별시 영등포구 당산로41길 23 당산4가현대3차아파트,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5425,5425,5425,당산현대5차아파트(당산동4가) (관리동1층),서울특별시 영등포구 당산로42길 16 당산현대5차아파트,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5426,5426,5426,당산2가현대아파트(당산동2가) (관리동 노인정앞),서울특별시 영등포구 당산로 95 당산2가현대아파트,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5427,5427,5427,한강미디어고등학교 (보건실),서울특별시 영등포구 선유로55길 22 한강미디어고등학교,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,
5428,5428,5428,뚝섬유원지역 (대합실 문 안쪽 벽면),서울특별시 광진구 능동로 10 .,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5429,5429,5429,행복플러스발달장애인센터 (센터 1층),서울특별시 성북구 화랑로 134,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5430,5430,5430,성북구보건소 (1층 승강기 맞은편),서울특별시 성북구 화랑로 63,00:00~23:55,00:00~23:55,00:00~23:55,00:00~23:55,00:00~23:55,00:00~23:55,,
5431,5431,5431,꿈의숲푸르지오아파트 (관리사무소),"서울특별시 성북구 오패산로16가길 40 (하월곡동, 꿈의숲푸르지오)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5432,5432,5432,월곡종합사회복지관 (1층),서울특별시 성북구 오패산로16길 23 (하월곡동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,,
5433,5433,5433,월곡두산위브아파트 (관리사무소),"서울특별시 성북구 오패산로 46 (하월곡동, 월곡두산위브)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5434,5434,5434,하월곡동신아파트 (103동 중앙초소내),"서울특별시 성북구 오패산로3길 17 (하월곡동, 동신아파트)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5435,5435,5435,종암아이파크아파트 (2초소내),"서울특별시 성북구 종암로21길 127 (종암동, 아이파크종암동)",00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,500:00~23:59,
5436,5436,5436,풍림아이원아파트 (관리사무소),"서울특별시 성북구 솔샘로25길 28 (정릉동, 정릉풍림아이원)",00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
