,설치기관명,설치기관주소,구별설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
2518,시흥4동주민센터 (주민센터5층 체력단련실 안),"서울특별시 금천구 독산로36길 14, 시흥4동주민센터 (시흥동)",금천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2519,시흥3동주민센터 (주민센터1층),"서울특별시 금천구 시흥대로18길 40, 시흥3동주민센터 (시흥동)",금천구 ,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,11:00~13:00,123411:00~14:00,11:00~14:00
2520,시흥2동주민센터 (2층 자치회관),서울특별시 금천구 금하로 764 2층 자치회관,금천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2521,성지병원 (2층),서울특별시 금천구 가산로 122 (가산동),금천구 ,,,,,,00:00~24:00,00:00~24:00,00:00~24:00
2522,성신고려요양병원 (4층 간호사실),서울특별시 금천구 범안로 1191 (독산동),금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2523,서울정심초등학교 (중앙현관 입구),서울특별시 금천구 독산로78다길 89 (독산동),금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2524,서울영남초등학교 (보건실),"서울특별시 금천구 문성로 62-15, 서울영남초등학교 (독산동)",금천구 ,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,08:00~19:00,,,
2525,서울안천초등학교 (1층 교무실),"서울특별시 금천구 한내로 69-16, 안천초등학교 (독산동)",금천구 ,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
2526,서울안천초등학교 (보건실),"서울특별시 금천구 한내로 69-16, 안천초등학교 (독산동)",금천구 ,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
2527,서울신흥초등학교 (체육관 앞),"서울특별시 금천구 독산로36나길 21, 신흥초등학교 (시흥동)",금천구 ,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,
2528,서울시흥초등학교 (보건실),"서울특별시 금천구 독산로23길 26, 서울시흥초등학교 (시흥동)",금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2529,서울시남부여성발전센터 (교육관 1층 복도),서울특별시 금천구 독산로50길 23 남부여성발전센터 (시흥동),금천구 ,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~13:00,,
2530,서울백산초등학교 (보건실),"서울특별시 금천구 시흥대로38길 78, 백산초등학교 (시흥동)",금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2531,서울문교초등학교 (1층 교무실),서울특별시 금천구 독산로54길 102 (독산동),금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2532,서울두산초등학교 (보건실),"서울특별시 금천구 범안로11길 3, 두산초등학교 (독산동)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2533,서울독산초등학교 (보건실),"서울특별시 금천구 시흥대로104길 31, 독산초등학교 (독산동)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2534,서울금천초등학교 (1층 복도 행정실 앞),서울특별시 금천구 탑골로5길 60 (시흥동),금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2535,서울금산초등학교 (1층 현관),"서울특별시 금천구 시흥대로24길 57, 서울금산초등학교 (시흥동)",금천구 ,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,
2536,서울가산초등학교 (1층 보건실앞),서울특별시 금천구 남부순환로 1304-11 (독산동),금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2537,서울가산디지털우체국 (1층 창구),서울특별시 금천구 가산디지털2로 108 (가산동),금천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2538,벽산타운3단지아파트 (관리사무소내),"서울특별시 금천구 탑골로 84 (시흥동, 벽산3단지아파트)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2539,문일중학교 (보건실),서울특별시 금천구 시흥대로47길 45 (시흥동),금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2540,문일고등학교 (1층 보건실),서울특별시 금천구 시흥대로47길 45 (시흥동),금천구 ,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,
2541,문성지구대 (지구대내),"서울특별시 금천구 독산로76길 20, 독산4 치안센터 (독산동)",금천구 ,,,,,,,,
2542,문성중학교 (3층 3학년교무실내),"서울특별시 금천구 독산로102길 78, 문성중학교 (독산동)",금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2543,문성중학교 (문관 1층 교무실),"서울특별시 금천구 독산로102길 78, 문성중학교 (독산동)",금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2544,로뎀복지요양원 (로뎀복지요양원 간호실 입구),서울특별시 금천구 시흥대로59길 20 로뎀복지요양원,금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2545,동일중학교 (2층 교무실),"서울특별시 금천구 탑골로10길 45, 학교법인동일학원교사 (시흥동)",금천구 ,07:20~16:20,07:20~16:20,07:20~16:20,07:20~16:20,07:20~16:20,,,
2546,동일여자상업고등학교 (2층 교무실 복도),"서울특별시 금천구 탑골로10길 45, 학교법인동일학원교사 (시흥동)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2547,동광초등학교 (중앙현관 입구),"서울특별시 금천구 탑골로10길 45, 학교법인동일학원교사 (시흥동)",금천구 ,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,
2548,독산파출소 (파출소 내),"서울특별시 금천구 벚꽃로10길 89, 1층 (독산동)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2549,독산테니스장 (관리사무소),서울특별시 금천구 독산로54길 288 (독산동),금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2550,독산고등학교 (체육문화예술부안 보건실 안),"서울특별시 금천구 문성로 64, 독산고등학교 (독산동)",금천구 ,08:10~16:10,08:10~16:10,08:10~16:10,08:10~16:10,08:10~16:10,,,
2551,독산4동주민센터 (주민센터4층 헬스클럽 안),"서울특별시 금천구 독산로 232, 독산4동주민센터 (독산동)",금천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2552,독산3동주민센터 (주민센터1층),"서울특별시 금천구 독산로 317, 독산3동 주민센터 (독산동)",금천구 ,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,,,
2553,독산1동주민센터분소 (주민센터2층),"서울특별시 금천구 한내로 69-17, 독산1동분소, 신독산 치안센터 (독산동)",금천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2554,녹십자요양병원 (병원대기실),서울특별시 금천구 시흥대로 202 (시흥동) 3~4층,금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2555,노인요양센터인영실버 (5층),서울특별시 금천구 금하로 596 인영실버빌딩,금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2556,난곡중학교 (보건실 앞),"서울특별시 금천구 문성로 67, 난곡중학교 (독산동)",금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2557,금천청소년센터 (지하2층 수영장앞),서울특별시 금천구 금하로30길 54 (시흥동),금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2558,금천수요양병원 (7층간호사실),서울특별시 금천구 남부순환로 1400 (독산동),금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2559,금천문화회관 (1층),서울특별시 금천구 시흥대로38길 61 금천문화회관 (시흥동),금천구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2560,금천구치매지원센터 (6층휴게실),"서울특별시 금천구 시흥대로123길 11, 독산1동주민센터 (독산동)",금천구 ,09:00~18:00,,,,,,,
2561,금천구민문화체육센터 (2층복도),"서울특별시 금천구 독산로54길 188, 금천구민문화체육센터 (독산동)",금천구 ,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,09:00~18:00,,
2562,금천구민문화체육센터 (1층 복도),"서울특별시 금천구 독산로54길 188, 금천구민문화체육센터 (독산동)",금천구 ,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,09:00~18:00,,
2563,금천구민문화체육센터 (3층 복도),"서울특별시 금천구 독산로54길 188, 금천구민문화체육센터 (독산동)",금천구 ,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,09:00~18:00,,
2564,구립시흥도서관 (금천구립시흥도서관 2층 안내데스크),서울특별시 금천구 금하로 764,금천구 ,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,,07:00~22:00,07:00~22:00,
2565,금천구립독산도서관 (1층),"서울특별시 금천구 독산로54길 114, 금천구립독산도서관 (독산동)",금천구 ,,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,
2566,금천고등학교 (신관1층 복도학생회의실 옆),서울특별시 금천구 시흥대로38길 26 금천고등학교,금천구 ,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,00:00~24:00,00:00~24:00,00:00~24:00
2567,영등포구청 별관 (1층 로비),서울특별시 영등포구 선유동1로 80,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2568,서울금천경찰서 (유치관리팀),"서울특별시 금천구 시흥대로73길 50, 금천경찰서 (시흥동)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2569,영등포구청 (본관 3층 복도),"서울특별시 영등포구 당산로 123, 영등포구청 (당산동3가)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2570,영등포구청 (영등포구청 본관 1층 로비),서울특별시 영등포구 당산로 123 영등포구청,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2571,영등포구장애인사랑나눔의집 (1층 엘레베이터 옆),"서울특별시 영등포구 신길로 55, 사랑나눔의집 (신길동)",영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2572,영등포sk리더스뷰 (102동 1층 보안실),서울특별시 영등포구 문래로 164 sk리더스뷰 (문래동3가),영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2573,가산중학교 (보건실 앞 복도),"서울특별시 금천구 시흥대로115길 48, 가산중학교 (독산동)",금천구 ,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2574,가산삼익아파트 (관리사무소내),"서울특별시 금천구 두산로9길 56 (가산동, 가산삼익아파트)",금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2575,7호선 가산디지털역 (에스컬레이터 옆),"서울특별시 금천구 벚꽃로 309, 가산디지털단지역 (가산동)",금천구 ,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00,05:00~24:00
2576,1호선 독산역 (고객지원실 옆),서울특별시 금천구 벚꽃로 115 (가산동),금천구 ,04:30~24:00,04:30~24:00,04:30~24:00,04:30~24:00,04:30~24:00,04:30~24:00,04:30~24:00,04:30~24:00
2577,1호선 금천구청역 (대합실),서울특별시 금천구 시흥대로63길 91 (시흥동),금천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2578,영등포제1스포츠센터 (지하2층 수영장 입구),서울특별시 영등포구 신풍로 1,영등포구,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,08:00~18:00,1310:00~18:00,
2579,여의도지구대(영등포) (1층 책장 위 선반),서울특별시 영등포구 여의공원로 120 여의도지구대,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2580,여의도중학교 (1층 책장 위 선반),서울특별시 영등포구 국제금융로7길 46 여의도중학교,영등포구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2581,여의도여자고등학교 (별관 2층 보건실),서울특별시 영등포구 국제금융로7가길 13 여의도여자고등학교,영등포구,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,
2582,가톨릭대학교여의도성모병원2 (가톨릭뇌건강센터 접수 안쪽),서울특별시 영등포구 63로 10 가톨릭대학교 여의도성모병원 마리아관 1층 뇌건강센터 (여의도동),영등포구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,,
2583,여의도성모병원 (방사선종양학과 지하1층),서울특별시 영등포구 63로 10 가톨릭대학교여의도성모병원,영등포구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,
2584,여의도금호리첸시아아파트 (A동 로비),서울특별시 영등포구 여의동로 213 여의도금호리첸시아,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2585,여의도노인복지관 (지하 1층 식당),서울특별시 영등포구 여의대방로 372 여의도복지관,영등포구,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,09:00~14:00,,,
2586,여의도노인복지관 (2층 로비 캐비닛 위),서울특별시 영등포구 여의대방로 372 여의도복지관,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2587,에이스하이테크시티 (1동 1층 로비),"서울특별시 영등포구 경인로 775, 에이스하이테크시티 (문래동3가)",영등포구,,,,,,00:00~24:00,400:00~24:00,00:00~24:00
2588,양화중학교 (1층 보건실 앞),서울특별시 영등포구 당산로 56 양화중학교,영등포구,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,08:00~16:30,,,
2589,양평성원아파트 (정문초소 내 출입문 우측 벽면),서울특별시 영등포구 양평로17길 36,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2590,양평상록수아파트 (1층 엘리베이터옆),서울특별시 영등포구 영등포로 17 양평 상록수아파트,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2591,양평동대우이안아파트 (201동 1층 관리사무실 내),서울특별시 영등포구 선유로33길 10 양평동대우이안아파트 201동,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2592,씨엠병원 (2층 수술실),"서울특별시 영등포구 영등포로36길 13, 충무병원 (영등포동4가)",영등포구,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:30,,
2593,씨엠병원 (별관 2층 접수),"서울특별시 영등포구 영등포로36길 13, 충무병원 (영등포동4가)",영등포구,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~14:00,,
2594,씨엠병원 (본관 3층 3병동 간호스테이션),"서울특별시 영등포구 영등포로36길 13, 충무병원 (영등포동4가)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2595,쌍용플래티넘시티 (방재실),"서울특별시 영등포구 도영로 15(도림동, 쌍용플래티넘시티2단지)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2596,신동아아파트(양평1동) (정문초소 출입구 안 벽면),서울특별시 영등포구 영등포로12길 8 신동아아파트(양평1동),영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2597,신길종합사회복지관 (수영장로비 휴게실),서울특별시 영등포구 영등포로84길 24-5 신길종합사회복지관,영등포구,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,,,
2598,신길4동주민센터 (주민센터 내부 민원인 대기장소),서울특별시 영등포구 신길로42길 1 신길4동주민센터,영등포구,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,,,
2599,신길우성3차아파트(신길6동) (관리사무소),서울특별시 영등포구 대방천로 172 신길우성3차아파트,영등포구,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,09:00~17:30,,,
2600,신길7동주민센터 (3층 사무실 입구),서울특별시 영등포구 여의대방로43길 10 신길7동주민센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,00:00~24:00,00:00~24:00,00:00~24:00
2601,신길6동주민센터 (보라매골프존 3층),"서울특별시 영등포구 대방천로 258, 보라매 골프존 3층 (신길동)",영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2602,신길3동주민센터 (민원실 필기대 하부),서울특별시 영등포구 신길로41라길 13-8 신길3동주민센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2603,신길1동주민센터 (주민센터 내 민원인 팩스 옆에 설치),서울특별시 영등포구 영등포로84길 24-5 신길1동주민센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2604,선유도역2차이즈비즈타워 (1층 로비안내데스크),서울특별시 영등포구 선유로49길 23  (양평동4가),영등포구,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59,00:00~23:59
2605,우신초등학교 (1층중앙현관),서울특별시 영등포구 신길로 190 우신초등학교,영등포구,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,
2606,영중초등학교 (본관 1층 우측 통로 출구 우측 벽),서울특별시 영등포구 양산로 185 영중초등학교,영등포구,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,,,
2607,영문초등학교 (1층 보건실 안쪽출입문 옆),서울특별시 영등포구 문래로 56 영문초등학교,영등포구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
2608,영문초등학교 (1층 초롱실 옆),서울특별시 영등포구 문래로 56 영문초등학교,영등포구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
2609,여의도초등학교 (본관 2층 교무실 앞),"서울특별시 영등포구 여의대방로 439, 여의도초등학교 (여의도동)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2610,여의도초등학교 (별관1층 보건실 앞),"서울특별시 영등포구 여의대방로 439, 여의도초등학교 (여의도동)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2611,신영초등학교 (중앙현관1층 어항),서울특별시 영등포구 도신로4길 32 신영초등학교,영등포구,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,,,
2612,서울시립영등포보현종합지원센터 (1층 사무실 입구),서울특별시 영등포구 버드나루로 24 영등포보현의집,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2613,선유초등학교 (정문현관1층),서울특별시 영등포구 선유로43가길 14 선유초등학교,영등포구,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,,,
2614,도신초등학교 (1층 본관 행정실 앞),서울특별시 영등포구 도림로53길 32-9 도신초등학교,영등포구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2615,대영초등학교 (중앙현관),서울특별시 영등포구 신길로23길 43 대영초등학교,영등포구,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,,,
2616,대길초등학교 (1층본관 보건실앞),서울특별시 영등포구 대방천로 206 대길초등학교,영등포구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,
2617,당산초등학교 (1층 교무실 앞),서울특별시 영등포구 선유로55길 32 당산초등학교,영등포구,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,09:00~16:00,,,
2618,양평파출소(영등포) (양평파출소 사무실 1층 내 벽면),서울특별시 영등포구 선유로 95 양평파출소,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2619,삼성아파트(신길6동) (관리사무소 앞),서울특별시 영등포구 여의대방로 45 삼성아파트(신길6동),영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2620,명지성모병원 (구급차 내),서울특별시 영등포구 도림로 156 명지성모병원,영등포구,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,,,
2621,명지성모병원 (신관 3층 내시경실),"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",영등포구,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,,,
2622,마자렐로센터 (1층 출입구 정면 진열대 상단),서울특별시 영등포구 신길로 93,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2623,롯데캐슬엠파이어(여의도) (102동 안내데스크 뒤 우편물보관실),서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2624,롯데캐슬아이비(여의도) (102동 1층 안내데스크),서울특별시 영등포구 국제금융로 86 롯데캐슬아이비,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2625,롯데캐슬아이비(여의도) (101동 1층 안내데스크),서울특별시 영등포구 국제금융로 86 롯데캐슬아이비,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2626,롯데백화점영등포점 (롯데백화점 3층 안전도우미센터 내부 입구),서울특별시 영등포구 경인로 846 롯데백화점 영등포점,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2627,대영중학교 (1층 중앙현관),서울특별시 영등포구 도림로80가길 14 대영중학교,영등포구,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,07:00~21:00,,,
2628,대림성모병원 (본관 2층),"서울특별시 영등포구 시흥대로 657, 대림성모병원 (대림동)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2629,대림2동주민센터 (1층 민원실 출입구 근처),서울특별시 영등포구 대림로23길 25 대림2동자치센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2630,당산중학교 (1층 중앙현관),서울특별시 영등포구 버드나루로 160 당산중학교,영등포구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,
2631,당산유원제일1차아파트(당산동4가) (정문 택배보관소),서울특별시 영등포구 국회대로29길 13 당산유원제일1차아파트(당산동4가),영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2632,당산쌍용예가클래식아파트 (노인정 앞),"서울특별시 영등포구 당산로31길 32 (당산동3가, 당산동쌍용예가클래식)",영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,,00:00~24:00,
2633,굿네이버스 (1층 로비),서울특별시 영등포구 버드나루로 13,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2634,국회사무처 (본관 1층 의무실),서울특별시 영등포구 의사당대로 1,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2635,국회사무처 (본관 1층 면회실),서울특별시 영등포구 의사당대로 1,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2636,국군복지단대방학사2관 (2학사 현관),서울특별시 영등포구 여의대방로43라길 17 (신길동),영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2637,국군복지단대방학사1관 (1학사 현관),서울특별시 영등포구 여의대방로49길 3 (신길동),영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
2638,구로세무서 (구로세무서 1층 로비),"서울특별시 영등포구 경인로 778, 구로세무서 (문래동1가)",영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
2639,광야홈리스센터 (사무실),서울특별시 영등포구 경인로100길 3 광야홈리스센터,영등포구,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00,09:00~24:00
2640,경방타임스퀘어 (지하2층 키즈앤키즈 앞),서울특별시 영등포구 영중로 15,영등포구,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
2641,경방타임스퀘어 (지하 1층 신한ATM기 옆 벽면),서울특별시 영등포구 영중로 15,영등포구,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
2642,경방타임스퀘어 (Gate 11번 안쪽),서울특별시 영등포구 영중로 15,영등포구,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00,10:00~23:00
2643,강마을삼성래미안당산1차아파트(당산동6가) (중앙초소 냉장고 옆),서울특별시 영등포구 당산로54길 11,영등포구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
