,설치기관명,설치기관주소,구별설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
614,신촌태영데시앙아파트 (신촌태영데시앙관리사무소),서울특별시 마포구 서강로9길 45,마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
615,신트리2단지(영구임대) (관리사무소),"서울특별시 양천구 신정로 275(신정동, 신트리2단지아파트)",양천구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
616,쌍문금호1차아파트 (경로당 입구),"서울특별시 도봉구 해등로26길 20(쌍문동, 금호아파트)",도봉구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
617,쌍문현대1차아파트 (관리실),서울특별시 도봉구 해등로 242-12,도봉구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
618,쌍문현대1차아파트 (2경비실),서울특별시 도봉구 해등로 242-12,도봉구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
619,쌍문현대2차아파트 (경비실),서울특별시 도봉구 시루봉로6길 53,도봉구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
620,아시아퍼시픽국제외국인학교 (1층 로비),서울특별시 노원구 월계로45가길 57,노원구 ,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,,,
621,아이파크삼성동아파트 (방재실 내),"서울특별시 강남구 영동대로 640  (삼성동, 아이파크삼성)",강남구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
622,아이파크삼성동아파트 (스포츠존 내),"서울특별시 강남구 영동대로 640  (삼성동, 아이파크삼성)",강남구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
623,아이파크삼성동아파트 (2동 로비 내),"서울특별시 강남구 영동대로 640  (삼성동, 아이파크삼성)",강남구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
624,아이파크삼성동아파트 (3동 로비 내),"서울특별시 강남구 영동대로 640  (삼성동, 아이파크삼성)",강남구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
625,아이파크삼성동아파트 (1동 로비 내),"서울특별시 강남구 영동대로 640  (삼성동, 아이파크삼성)",강남구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
626,아현문화건강센터 (아현문화건강센터 2층 복도),"서울특별시 마포구 마포대로11길 44-81, 아현문화건강센터 (아현동)",마포구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
627,아현문화건강센터 (아현문화건강센터 지하1층 로비),서울특별시 마포구 마포대로11길 44-81 아현문화건강센터 (아현동),마포구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,10:00~16:00,,
628,아현문화건강센터 (아현문화건강센터 3층 복도),"서울특별시 마포구 마포대로11길 44-81, 아현문화건강센터 (아현동)",마포구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
629,아현문화건강센터 (아현문화건강센터 1층 복도),"서울특별시 마포구 마포대로11길 44-81, 아현문화건강센터 (아현동)",마포구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
630,암사역 (지하1층 대합실),서울특별시 강동구 올림픽로 지하 776,강동구 ,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~24:00,05:00~24:00,05:00~24:00
631,약수하이츠아파트(분양) (관리사무소),서울특별시 중구 동호로10길 30,중구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
