,Unnamed: 0,설치기관명,설치기관주소,소재지,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일,위도,경도
5465,5466,스타시티몰 (1층 하행 에스컬레이터 앞),"서울특별시 광진구 아차산로 262 (자양동, 더샵스타시티)",광진구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.5370016363785,127.072962760454
5466,5467,당산2동주민센터 (2층 민원실),서울특별시 영등포구 당산로41가길 7 당산2동주민센터,영등포구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,37.5310115134124,126.897347826726
5467,5468,삼성고등학교 (본관1층 중앙현관),서울특별시 관악구 신림로 41,관악구,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,08:00~16:00,,,,37.469107701859,126.944010788599
5468,5469,관악구수어통역센터 (사무실 내),"서울특별시 관악구 관악로 109, 건웅빌딩 6층 (봉천동)",관악구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,,37.4748803969579,126.952472136671
5469,5470,서울대포스코스포츠센터 (2층 강사실 입구),서울특별시 관악구 관악로 1 71-2동,관악구,05:30~23:00,05:30~23:00,05:30~23:00,05:30~23:00,05:30~23:00,10:00~18:00,,,37.4805,126.9522
5470,5471,보라매삼성아파트 (103동 경비초소),서울특별시 관악구 보라매로 62,관악구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4948015028766,126.927602560192
5471,5472,신림현대아파트 (경로당),서울특별시 관악구 신림로29길 8,관악구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4755685048005,126.932811143723
5472,5473,봉천동아아파트2단지(임대) (1층 노인정),서울특별시 관악구 관악로37길 20,관악구,,,,,,00:00~24:00,00:00~24:00,00:00~24:00,37.4875554407187,126.95598852611
5473,5474,보라매삼성아파트 (경비1초소내),서울특별시 관악구 보라매로 62,관악구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4948015028766,126.927602560192
5474,5475,봉천두산아파트 (2단지 관리사무실1층),서울특별시 관악구 봉천로 387,관악구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4837618191007,126.942709216777
5475,5476,신림동부아파트 (관리사무실 입구),서울특별시 관악구 신원로 26,관악구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4811549763764,126.928270805228
5476,5477,봉천두산아파트 (1단지 어린이집 앞),서울특별시 관악구 봉천로 387,관악구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4837618191007,126.942709216777
5477,5478,구립관악청소년센터 (지하1층 수영장입구),서울특별시 관악구 신림로23길 17,관악구,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~22:00,06:00~19:00,,,37.4702439018707,126.935243319909
5478,5479,원당초등학교 (교무실),서울특별시 관악구 봉천로 505,관악구,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,08:40~16:40,,,,37.4813287962774,126.955866680267
5479,5480,광신중학교 (학교보건실),서울특별시 관악구 광신길 141 광신중학교,관악구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,37.4644762024804,126.925940565455
5480,5481,봉림중학교 (학교보건실),서울특별시 관악구 장군봉길 72,관악구,07:00~20:00,07:00~20:00,07:00~20:00,07:00~20:00,07:00~20:00,,,,37.4811981682395,126.937702673305
5481,5482,서울동신초등학교 (본관1층 복도),서울특별시 성북구 보문사길 50 (보문동3가),성북구,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,08:30~16:30,,,,37.5832878743837,127.017057951549
5482,5483,서울석계초등학교 (1층 중앙현관 보안관실 옆),서울특별시 성북구 한천로58길 273 (석관동),성북구,07:30~19:30,07:30~19:30,07:30~19:30,07:30~19:30,,08:00~14:00,,,37.6088136847633,127.069732061242
